Date,FSE/HRPK_X - Not Found,FSE/LUM_X - Not Found,FSE/AGX_X - Not Found,FSE/AB1_X - Close,FSE/ABA_X - Not Found,FSE/TXA_X - Not Found,FSE/5AB_X - Not Found,FSE/NSU_X - Not Found,FSE/BKS3_X - Not Found,FSE/BEZ_X - Not Found,FSE/HUL_X - Not Found,FSE/BIJ_X - Not Found,FSE/BSY_X - Not Found,FSE/8GS_X - Not Found,FSE/CHX_X - Not Found,FSE/CNWK_X - Not Found,FSE/CUR_X - Not Found,FSE/DIE_X - Not Found,FSE/EIS_X - Not Found,FSE/ELN_X - Not Found,FSE/EWI_X - Not Found,FSE/EBK_X - Not Found,FSE/EKT_X - Not Found,FSE/USE_X - Not Found,FSE/BNT1_X - Not Found,FSE/FGT_X - Not Found,FSE/CEA_X - Not Found,FSE/FRO_X - Not Found,FSE/FRO3_X - Not Found,FSE/WWG_X - Not Found,FSE/H9Y_X - Not Found,FSE/H2FA_X - Not Found,FSE/IFA_X - Not Found,FSE/IFS_X - Not Found,FSE/I7N_X - Not Found,FSE/JJO_X - Not Found,FSE/KPH_X - Not Found,FSE/HETA_X - Not Found,FSE/KWG_X - Not Found,FSE/K1R_X - Not Found,FSE/KSB_X - Not Found,FSE/KSB3_X - Not Found,FSE/MUS_X - Not Found,FSE/MNV6_X - Not Found,FSE/MAN_X - Close,FSE/MAN3_X - Not Found,FSE/MBH3_X - Not Found,FSE/MAK_X - Not Found,FSE/MDN_X - Not Found,FSE/ILM1_X - Not Found,FSE/HWSA_X - Not Found,FSE/ML2_X - Not Found,FSE/MPS_X - Not Found,FSE/MLL_X - Not Found,FSE/XMY_X - Not Found,FSE/NSN_X - Not Found,FSE/NWX_X - Not Found,FSE/OMAX_X - Not Found,FSE/OMR_X - Not Found,FSE/OBS_X - Not Found,FSE/ICP_X - Not Found,FSE/02P_X - Not Found,FSE/EMH1_X - Not Found,FSE/HOZ_X - Not Found,FSE/PS4_X - Not Found,FSE/PIT_X - Not Found,FSE/PAH3_X - Not Found,FSE/HP3_X - Not Found,FSE/BUF_X - Not Found,FSE/SWA_X - Not Found,FSE/SCM_X - Not Found,FSE/SCE_X - Not Found,FSE/SW1_X - Close,FSE/SIM_X - Not Found,FSE/SGU_X - Not Found,FSE/8S9_X - Not Found,FSE/SFX_X - Not Found,FSE/STE_X - Not Found,FSE/STO3_X - Not Found,FSE/TCU_X - Not Found,FSE/TVD6_X - Not Found,FSE/TUR_X - Not Found,FSE/US5_X - Not Found,FSE/UP7_X - Not Found,FSE/UZU_X - Not Found,FSE/FKE_X - Not Found,FSE/OLG_X - Not Found,FSE/VG0K_X - Not Found,FSE/WTB_X - Not Found,FSE/WTB3_X - Not Found,FSE/MSH_X - Not Found,FSE/WZM_X - Not Found,FSE/YB1A_X - Not Found,FSE/ZEF_X - Not Found
2000-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
