Date,FSE/UUU_X - Not Found,FSE/VSC_X - Not Found,FSE/ACWN_X - Not Found,FSE/AAQ_X - Not Found,FSE/ADS_X - Close,FSE/ADD_X - Not Found,FSE/ADV_X - Close,FSE/AAH_X - Not Found,FSE/AIR_X - Close,FSE/AIXA_X - Close,FSE/ASL_X - Not Found,FSE/SFP1_X - Not Found,FSE/AAD_X - Close,FSE/ART_X - Not Found,FSE/AAG_X - Not Found,FSE/NDA_X - Close,FSE/AVES_X - Not Found,FSE/BNN_X - Not Found,FSE/BAS_X - Close,FSE/BSL_X - Not Found,FSE/B5A_X - Close,FSE/BMW3_X - Not Found,FSE/BMW_X - Close,FSE/BAYN_X - Close,FSE/BYW_X - Not Found,FSE/BYW6_X - Close,FSE/BBZA_X - Close,FSE/BFSA_X - Not Found,FSE/BEI_X - Close,FSE/BDT_X - Close,FSE/ACX_X - Not Found,FSE/GBF_X - Close,FSE/B8F_X - Not Found,FSE/BIO_X - Not Found,FSE/BIO3_X - Close,FSE/BNR_X - Close,FSE/AFX_X - Close,FSE/CEC_X - Not Found,FSE/CEC1_X - Not Found,FSE/CEV_X - Close,FSE/CWC_X - Close,FSE/CON_X - Close,FSE/1COV_X - Close,FSE/CE2_X - Not Found,FSE/DAI_X - Close,FSE/DAM_X - Not Found,FSE/DHER_X - Not Found,FSE/DEX_X - Close,FSE/DMP_X - Not Found,FSE/DPW_X - Close,FSE/DEZ_X - Close,FSE/DLG_X - Close,FSE/DBD_X - Not Found,FSE/GIL_X - Close,FSE/HNL_X - Not Found,FSE/DRW8_X - Not Found,FSE/DRW3_X - Close,FSE/DUE_X - Close,FSE/EOAN_X - Close,FSE/EUZ_X - Not Found,FSE/ED4_X - Not Found,FSE/EIN3_X - Not Found,FSE/ELG_X - Not Found,FSE/ZIL2_X - Close,FSE/ELB_X - Not Found,FSE/ECX_X - Not Found,FSE/EUCA_X - Not Found,FSE/EVK_X - Close,FSE/EVT_X - Close,FSE/EXC_X - Not Found,FSE/EXN_X - Not Found,FSE/FIE_X - Close,FSE/SIS_X - Not Found,FSE/FEV_X - Not Found,FSE/FPH_X - Not Found,FSE/FRA_X - Close,FSE/FME_X - Close,FSE/FRE_X - Close,FSE/FPE3_X - Close,FSE/FPE_X - Not Found,FSE/G1A_X - Close,FSE/GME_X - Not Found,FSE/GXI_X - Close,FSE/GWI1_X - Close,FSE/GSC1_X - Close,FSE/GGS_X - Not Found,FSE/GMM_X - Close,FSE/2HRA_X - Not Found,FSE/HHFA_X - Close,FSE/HLAG_X - Not Found,FSE/HAW_X - Close,FSE/WL6_X - Not Found,FSE/HDD_X - Close,FSE/HEI_X - Close,FSE/HLE_X - Not Found,FSE/HFG_X - Not Found,FSE/HEN_X - Not Found,FSE/HEN3_X - Close,FSE/HOT_X - Close,FSE/H24_X - Not Found,FSE/HBH_X - Not Found,FSE/HBM_X - Not Found,FSE/BOSS_X - Close,FSE/INH_X - Close,FSE/IFX_X - Close,FSE/IXX_X - Not Found,FSE/IGY_X - Not Found,FSE/IS7_X - Not Found,FSE/JEN_X - Close,FSE/JST_X - Not Found,FSE/JUN3_X - Close,FSE/SDF_X - Close,FSE/KGX_X - Close,FSE/KCO_X - Close,FSE/KBX_X - Not Found,FSE/SKB_X - Close,FSE/KRN_X - Close,FSE/KU2_X - Close,FSE/KWS_X - Close,FSE/LXS_X - Close,FSE/LEI_X - Not Found,FSE/LEO_X - Close,FSE/LIN_X - Close,FSE/TGHN_X - Not Found,FSE/LO24_X - Not Found,FSE/LPK_X - Close,FSE/ECK_X - Not Found,FSE/LHA_X - Close,FSE/MXHN_X - Not Found,FSE/M5Z_X - Not Found,FSE/MZX_X - Not Found,FSE/MBB_X - Not Found,FSE/MED_X - Not Found,FSE/MDG1_X - Not Found,FSE/MRK_X - Close,FSE/B4B_X - Not Found,FSE/B4B3_X - Not Found,FSE/MGNK_X - Not Found,FSE/MOR_X - Close,FSE/MTX_X - Close,FSE/MVV1_X - Not Found,FSE/NDX1_X - Close,FSE/NOEJ_X - Close,FSE/OHB_X - Not Found,FSE/OSR_X - Close,FSE/PA8_X - Not Found,FSE/PGN_X - Not Found,FSE/O2C_X - Close,FSE/PFV_X - Close,FSE/PNE3_X - Not Found,FSE/PWO_X - Not Found,FSE/PUM_X - Close,FSE/TPE_X - Not Found,FSE/QIA_X - Close,FSE/690D_X - Not Found,FSE/QSC_X - Close,FSE/RSL2_X - Not Found,FSE/RAA_X - Close,FSE/RHM_X - Close,FSE/RHK_X - Close,FSE/RY8_X - Not Found,FSE/RWE_X - Close,FSE/RWE3_X - Not Found,FSE/SANT_X - Not Found,FSE/SFQ_X - Close,FSE/SZG_X - Close,FSE/SRT_X - Not Found,FSE/SRT3_X - Close,FSE/SHA_X - Not Found,FSE/SLT_X - Close,FSE/SEN_X - Not Found,FSE/F3C_X - Not Found,FSE/SGL_X - Close,FSE/SAE_X - Not Found,FSE/SIE_X - Close,FSE/SHL_X - Not Found,FSE/WAF_X - Not Found,FSE/SNG_X - Not Found,FSE/SIX2_X - Close,FSE/SIX3_X - Not Found,FSE/BTBB_X - Not Found,FSE/AM3D_X - Not Found,FSE/S92_X - Close,FSE/S4A_X - Not Found,FSE/STM_X - Not Found,FSE/SNH_X - Not Found,FSE/SBS_X - Close,FSE/SF3_X - Not Found,FSE/SZU_X - Close,FSE/SMHN_X - Not Found,FSE/SUR_X - Not Found,FSE/SY1_X - Close,FSE/TTK_X - Close,FSE/TTR1_X - Not Found,FSE/TKA_X - Close,FSE/TTI_X - Close,FSE/UN01_X - Not Found,FSE/ULC_X - Not Found,FSE/VAO_X - Not Found,FSE/VQT_X - Not Found,FSE/VAR1_X - Not Found,FSE/VBK_X - Not Found,FSE/VIB3_X - Close,FSE/V6C_X - Not Found,FSE/V3V_X - Not Found,FSE/VOW_X - Not Found,FSE/VOW3_X - Close,FSE/VBX_X - Not Found,FSE/VOS_X - Close,FSE/VT9_X - Close,FSE/WCH_X - Close,FSE/WAC_X - Close,FSE/WSU_X - Not Found,FSE/WUG_X - Not Found,FSE/WUG3_X - Not Found,FSE/WEW_X - Not Found,FSE/WDL_X - Not Found,FSE/ZAL_X - Not Found,FSE/TIM_X - Close,FSE/ZO1_X - Close
2000-01-03,,,,,71.7,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,115.0,,,,,,,,,,,,,15.8,28.0,,,,,,,,,125.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.22,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,116.2,,,,,,,,,,,,,16.26,29.0,,,,,,,,,125.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,116.2,,,,,,,,,,,,,16.26,29.0,,,,,,,,,125.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.82,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.38,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,30.0,,,,,,,,,,,,114.0,,,,,,,,,,,,,16.26,29.0,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.59,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,30.0,,,,,,,,,,,,114.0,,,,,,,,,,,,,16.26,29.0,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,,,,,73.09,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.57,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,59.2,,,,,,13.7,,12.08,,,,30.0,,,,,,,,,,,,114.0,,,,,,,,,,,,,16.26,29.0,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,,,,,72.41,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,58.5,,,,,,13.7,,12.08,,,,30.0,,,,,,,,,,,,114.0,27.5,,,,,,,,,,,,16.26,29.0,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,13.7,,12.08,,,,30.0,,,,,,,,,,,,105.0,27.5,,,,,,,,,,,,16.26,29.0,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,,,,,69.85,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,5.54,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,59.2,,,,,,13.7,,12.08,,,,30.0,,,,,,,,,,,,105.0,27.4,,,,,,,,,,,,16.26,29.0,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,,,,,67.35,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,9.2,,,,,114.4,,,,,,,,,,,5.54,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,143.0,59.1,,,,,,13.9,,12.08,,,,30.0,,,,,,,,,,,,105.0,27.4,,,,,,,,,,,,16.26,29.0,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.01,,,,,14.25,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,9.2,,,,,114.4,,,,,,,,,,,5.8,72.0,,6.9,,,,23.0,,,,,,,,,,,,,,,,,,,,143.0,59.75,,,,,,13.9,,12.08,,,,30.0,,,,,,,,,,,,105.0,27.4,,,,,,,,,,,,17.83,29.0,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,14.25,,,,,,,10.3,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
