Date,XFRA/HRPK - Close,XFRA/LUM - Close,XFRA/AGX - Close,XFRA/AB1 - Close,XFRA/ABA - Close,XFRA/TXA - Close,XFRA/5AB - Close,XFRA/NSU - Close,XFRA/BKS3 - Close,XFRA/BEZ - Close,XFRA/HUL - Close,XFRA/BIJ - Close,XFRA/BSY - Close,XFRA/8GS - Close,XFRA/CHX - Close,XFRA/CNWK - Close,XFRA/CUR - Close,XFRA/DIE - Close,XFRA/EIS - Close,XFRA/ELN - Close,XFRA/EWI - Close,XFRA/EBK - Close,XFRA/EKT - Close,XFRA/USE - Close,XFRA/BNT1 - Close,XFRA/FGT - Close,XFRA/CEA - Close,XFRA/FRO - Close,XFRA/FRO3 - Close,XFRA/WWG - Close,XFRA/H9Y - Close,XFRA/H2FA - Close,XFRA/IFA - Close,XFRA/IFS - Close,XFRA/I7N - Close,XFRA/JJO - Close,XFRA/KPH - Close,XFRA/HETA - Close,XFRA/KWG - Close,XFRA/K1R - Close,XFRA/KSB - Close,XFRA/KSB3 - Close,XFRA/MUS - Close,XFRA/MNV6 - Close,XFRA/MAN - Close,XFRA/MAN3 - Close,XFRA/MBH3 - Close,XFRA/MAK - Close,XFRA/MDN - Close,XFRA/ILM1 - Close,XFRA/HWSA - Close,XFRA/ML2 - Close,XFRA/MPS - Close,XFRA/MLL - Close,XFRA/XMY - Close,XFRA/NSN - Close,XFRA/NWX - Close,XFRA/OMAX - Close,XFRA/OMR - Not Found,XFRA/OBS - Close,XFRA/ICP - Close,XFRA/02P - Close,XFRA/EMH1 - Close,XFRA/HOZ - Close,XFRA/PS4 - Close,XFRA/PIT - Close,XFRA/PAH3 - Close,XFRA/HP3 - Close,XFRA/BUF - Close,XFRA/SWA - Close,XFRA/SCM - Close,XFRA/SCE - Close,XFRA/SW1 - Close,XFRA/SIM - Close,XFRA/SGU - Close,XFRA/8S9 - Close,XFRA/SFX - Close,XFRA/STE - Close,XFRA/STO3 - Close,XFRA/TCU - Close,XFRA/TVD6 - Close,XFRA/TUR - Close,XFRA/US5 - Close,XFRA/UP7 - Close,XFRA/UZU - Close,XFRA/FKE - Close,XFRA/OLG - Close,XFRA/VG0K - Close,XFRA/WTB - Close,XFRA/WTB3 - Close,XFRA/MSH - Close,XFRA/WZM - Close,XFRA/YB1A - Close,XFRA/ZEF - Close
2007-01-02,7.166471,0.211,,17.23,20.920469,0.056,,512.453113,10.05,,8.375701,67.777515,45.203522,,,4.358462,2.826779,12.97416,12.425688,13.531918,,35.875971,1.332491,3.9712,69.235623,,5.768921,0.5,0.41,328.620977,,4.51,8.489672,1.021126,21.16,,7.2,,3.271774,,286.4006,286.973736,0.041,263.335429,49.825946,49.836445,26.067788,1.2,5.793735,8.2,15.841506,,0.079,1.543176,12.48,1.78,4.129097,,,1.043222,2.95,,3.286965,0.28,15.472231,0.650704,74.497301,,1.79,8.958063,8.16,4.006686,,231.731143,4.4,,10.25,,18.631986,0.89,37.12,2.287571,,,17.04424,,265.330174,15.504574,0.049,0.06,5.052662,0.64,,
2007-01-03,7.166471,0.22,,17.09,20.787929,0.053,,510.634885,10.05,,8.375701,70.6788,45.873272,,,4.265332,2.540281,12.647822,12.825085,14.270022,,35.697483,1.382304,3.990667,79.620967,,5.847839,0.6,0.41,321.914426,,4.3,8.414873,1.056337,20.5,,7.31,,3.180384,,296.83625,288.626293,0.046,263.335429,50.653978,50.533842,26.094999,1.16,5.793735,8.2,16.127798,,0.081,1.580814,11.92,1.66,4.07234,,,0.986171,3.25,,3.228789,0.34,15.472231,0.650704,74.915398,,1.75,8.726389,8.16,4.07769,,229.413832,4.3,,10.33,,19.757786,0.89,37.44,2.463886,,,17.072612,,267.26219,15.475862,0.049,0.051,5.060772,0.63,,
2007-01-04,6.838971,0.211,,17.05,21.059985,0.053,,522.501213,10.05,,8.382566,67.695144,45.625556,,,4.153577,2.521181,13.09764,12.825085,14.270022,,36.018761,1.376077,4.010133,81.351857,,5.879407,0.6,0.41,321.914426,,4.3,8.489672,1.029928,20.6,,7.33,,3.180384,,294.285313,287.864746,0.043,263.335429,50.063555,50.142046,25.692282,1.16,5.743417,8.2,16.366375,,0.08,1.580814,11.76,1.7,4.07234,,,0.994321,2.65,,3.05426,0.35,15.137954,0.650704,74.595364,,1.74,8.873116,8.16,4.07769,,231.731143,4.6,,10.21,,20.01672,0.89,40.0,2.48649,,,17.590393,,265.652177,15.533286,0.051,0.07,5.060772,0.64,,
2007-01-05,6.838971,0.24,,17.33,20.892566,0.056,,525.563491,10.05,,8.382566,72.532145,46.212734,,,4.00457,2.71218,13.238759,12.73633,17.22244,,35.733181,1.394757,4.068533,79.620967,,5.938595,0.55,0.55,321.914426,,4.51,8.499022,1.00352,20.62,,7.33,,3.253496,,291.657075,285.389718,0.046,262.931484,49.42993,49.287931,25.68684,1.16,5.707476,8.2,17.177536,,0.09,1.580814,11.72,1.68,4.185855,,,0.986171,2.85,,3.05426,0.33,15.243012,0.650704,74.945805,,1.7,8.880839,8.17,4.016829,,221.689461,4.6,,10.61,,19.420046,0.86,39.2,2.396073,,,17.590393,,269.194206,15.504574,0.05,0.07,5.044552,0.62,,
2007-01-08,6.655956,0.221,,17.85,21.227405,0.06,,525.85058,10.05,,8.389432,74.774464,45.12095,,,4.079073,2.71218,13.0359,13.002595,18.20658,,35.411903,1.376077,4.126933,76.159186,,5.887298,0.45,0.55,321.914426,,4.3,8.499022,1.00352,23.0,,7.33,,3.198662,,294.439915,286.341652,0.046,262.931484,49.789944,49.44465,25.692282,1.15,5.764982,8.2,16.700382,,0.089,1.588342,11.24,1.7,4.079435,,,0.978021,3.0,,3.05426,0.35,15.185708,0.650704,77.309954,,1.75,8.842226,8.05,4.026973,,232.503581,4.5,,10.2,,19.420046,0.86,38.4,2.436761,,,17.732251,,269.194206,15.418438,0.049,0.07,4.825576,0.62,,
2007-01-09,6.444044,0.221,,18.05,22.25285,0.047,,528.434377,10.05,,8.389432,74.820226,44.698916,,,4.116325,2.559381,12.347943,12.958217,17.468475,,35.697483,1.332491,4.126933,70.966514,,5.788651,0.48,0.55,321.914426,,4.3,8.508372,1.00352,23.13,,7.32,,3.198662,,289.098409,279.48773,0.044,257.05592,50.898788,50.698397,25.850103,1.12,5.822488,8.2,16.461805,,0.081,1.580814,11.28,1.67,4.043961,,,0.969871,3.0,,3.05426,0.35,15.519984,0.650704,76.47376,,1.88,8.610552,7.89,4.057403,,231.731143,4.6,,10.1,,19.194886,0.85,38.08,2.531699,,,17.767716,,268.099397,15.533286,0.054,0.07,4.931009,0.61,,
2007-01-10,6.029853,0.26,,17.6,22.322608,0.049,,515.802479,10.05,,8.581661,74.36261,44.478724,,,4.041821,2.70263,12.347943,13.09135,17.22244,,35.697483,1.326265,4.214533,70.966514,,5.72157,0.48,0.55,325.267701,,4.3,8.527072,0.985914,24.48,,7.34,,3.198662,,286.091396,275.527686,0.043,259.626479,51.46761,50.698397,24.979363,1.17,5.858429,8.2,16.461805,,0.093,1.543176,11.56,1.71,4.029772,,,0.961721,3.05,,3.083348,0.35,15.376723,0.436657,76.549778,,1.83,8.649165,7.89,4.057403,,234.820892,5.2,,10.3,,19.526997,0.89,38.08,2.531699,,,17.746437,,268.550201,15.504574,0.049,0.06,4.931009,0.58,,
2007-01-11,6.000956,0.23,,17.88,22.322608,0.051,,522.022732,10.0,,8.629718,75.987147,44.313581,,,3.985944,2.67398,12.162724,12.869462,16.730371,,35.340508,1.332491,4.477333,70.966514,,5.56768,0.46,0.55,328.620977,,4.3,8.564471,1.00352,26.13,,7.46,,3.213284,,287.003549,270.821325,0.044,259.993702,52.094034,51.638707,24.761678,1.15,6.304101,8.24,16.891244,,0.084,1.520593,11.68,1.73,4.029772,,,0.94542,3.0,,2.996083,0.35,15.711,0.650704,76.412946,,1.87,8.811336,7.91,4.037116,,236.327144,4.6,,10.51,,19.526997,0.9,38.4,2.576908,,,17.31377,,265.652177,15.217452,0.047,0.06,4.947229,0.6,,
2007-01-12,5.461544,0.231,,17.36,22.294705,0.047,,505.084506,10.0,,8.45122,77.79473,44.267707,,,3.985944,2.66443,12.198004,12.647575,15.746231,,35.340508,1.369851,4.564933,69.235623,,5.504545,0.46,0.55,325.267701,,4.3,8.555121,0.977112,24.3,,7.74,,3.180384,,285.241084,266.960282,0.046,259.993702,52.907666,52.054011,25.033784,1.14,6.325666,8.24,16.461805,,0.084,1.520593,11.56,1.71,4.043961,,,0.880219,3.05,,2.937907,0.37,15.758753,0.650704,77.211131,,1.83,8.880839,9.16,4.021901,,236.875575,4.6,,10.5,,19.555142,0.9,39.36,2.572387,,,17.519464,,264.042164,15.217452,0.047,0.06,4.947229,0.63,,
2007-01-15,6.309191,0.26,,17.85,22.950431,0.048,,505.275898,9.5,,8.821947,78.183704,43.671355,,,4.079073,2.72173,11.889305,12.625386,15.500196,,35.411903,1.363624,4.7012,69.235623,,5.484816,0.48,0.55,321.914426,,4.3,8.536421,1.012323,25.15,,7.65,,3.290052,,286.787106,268.262528,0.045,259.993702,52.418047,51.481988,25.006574,1.18,6.742585,8.28,16.318659,,0.097,1.520593,11.32,1.8,4.214233,,,0.93727,3.05,,2.937907,0.37,15.663246,0.650704,76.777831,,1.85,9.035288,9.8,4.032044,,238.683078,4.5,,10.5,,19.887253,1.03,38.24,2.531699,,,17.945038,,267.26219,15.217452,0.047,0.06,5.028331,0.63,,
